['517', 'South Boulevard', '5', '20210504 16:13:32']
['518', 'Wellington', '1', '20210504 16:13:35']
['522', 'Washington/Wells', '5', '20210504 16:13:36']
['523', 'Merchandise Mart', '5', '20210504 16:13:27']
['507', 'Fullerton', '5', '20210504 16:14:14']
['509', 'Sheridan', '5', '20210504 16:14:23']
['517', 'Howard', '5', '20210504 16:14:17']
['518', 'Belmont', '1', '20210504 16:14:35']
['520', 'Sedgwick', '1', '20210504 16:14:35']
['522', 'Merchandise Mart', '1', '20210504 16:14:32']
['507', 'Fullerton', '5', '20210504 16:15:39']
['509', 'Sheridan', '5', '20210504 16:14:23']
['522', 'Merchandise Mart', '1', '20210504 16:15:15']
['507', 'Armitage', '5', '20210504 16:16:37']
['519', 'South Boulevard', '1', '20210504 16:16:24']
['521', 'Central', '5', '20210504 16:16:39']
['515', 'Linden', '1', '20210504 16:17:03']
['519', 'Main', '1', '20210504 16:16:56']
['520', 'Armitage', '1', '20210504 16:17:25']
['521', 'Central', '5', '20210504 16:17:32']
['522', 'Chicago', '1', '20210504 16:17:33']
['523', 'State/Lake', '5', '20210504 16:17:37']
['519', 'Dempster', '1', '20210504 16:18:25']
['520', 'Armitage', '1', '20210504 16:18:30']
['523', 'State/Lake', '5', '20210504 16:18:38']
['509', 'Belmont', '5', '20210504 16:19:27']
['519', 'Dempster', '1', '20210504 16:19:24']
['520', 'Fullerton', '1', '20210504 16:19:39']
['507', 'Sedgwick', '5', '20210504 16:20:04']
['509', 'Belmont', '5', '20210504 16:20:25']
['521', 'Davis', '5', '20210504 16:20:35']
['522', 'Sedgwick', '1', '20210504 16:20:32']
['523', 'Adams/Wabash', '5', '20210504 16:20:36']
['509', 'Wellington', '5', '20210504 16:21:14']
['513', 'Central', '5', '20210504 16:21:31']
['521', 'Davis', '5', '20210504 16:21:27']
['522', 'Sedgwick', '1', '20210504 16:21:39']
['523', 'Adams/Wabash', '5', '20210504 16:21:39']
['509', 'Diversey', '5', '20210504 16:22:36']
['513', 'Central', '5', '20210504 16:22:29']
['517', 'Wilson', '5', '20210504 16:22:31']
['519', 'Noyes', '1', '20210504 16:22:36']
['520', 'Diversey', '1', '20210504 16:22:24']
['521', 'Davis', '5', '20210504 16:22:29']
['523', 'Harold Washington Library-State/Van Buren', '5', '20210504 16:22:31']
['507', 'Chicago', '5', '20210504 16:23:39']
['509', 'Diversey', '5', '20210504 16:23:29']
['517', 'Wilson', '5', '20210504 16:23:30']
['521', 'Dempster', '5', '20210504 16:22:51']
['523', 'LaSalle/Van Buren', '5', '20210504 16:23:28']
['509', 'Fullerton', '5', '20210504 16:24:37']
['519', 'Central', '1', '20210504 16:24:31']
['520', 'Wellington', '1', '20210504 16:24:37']
['521', 'Main', '5', '20210504 16:24:30']
['522', 'Armitage', '1', '20210504 16:24:34']
['523', 'Quincy', '5', '20210504 16:24:23']
['507', 'Merchandise Mart', '5', '20210504 16:25:37']
['513', 'Davis', '5', '20210504 16:25:28']
['517', 'Sheridan', '5', '20210504 16:25:25']
['521', 'Main', '5', '20210504 16:24:30']
['522', 'Armitage', '1', '20210504 16:25:30']
['523', 'Quincy', '5', '20210504 16:25:36']
['507', 'Merchandise Mart', '5', '20210504 16:26:15']
['509', 'Armitage', '5', '20210504 16:26:37']
['513', 'Davis', '5', '20210504 16:26:20']
['517', 'Sheridan', '5', '20210504 16:25:25']
['519', 'Linden', '1', '20210504 16:26:21']
['521', 'South Boulevard', '5', '20210504 16:26:15']
['522', 'Fullerton', '1', '20210504 16:26:39']
['523', 'Washington/Wells', '5', '20210504 16:26:36']
['513', 'Davis', '5', '20210504 16:27:29']
['519', 'Linden', '1', '20210504 16:27:37']
['521', 'Howard', '5', '20210504 16:27:27']
['523', 'Merchandise Mart', '1', '20210504 16:27:34']
['512', 'Central', '5', '20210504 16:28:09']
['513', 'Dempster', '5', '20210504 16:27:51']
['521', 'Howard', '5', '20210504 16:28:31']
['523', 'Merchandise Mart', '1', '20210504 16:28:06']
['507', 'State/Lake', '5', '20210504 16:29:27']
['512', 'Central', '5', '20210504 16:29:03']
['513', 'Main', '5', '20210504 16:29:15']
['522', 'Diversey', '1', '20210504 16:29:16']
['507', 'State/Lake', '5', '20210504 16:30:30']
['509', 'Sedgwick', '5', '20210504 16:30:34']
['513', 'South Boulevard', '5', '20210504 16:30:38']
['523', 'Chicago', '1', '20210504 16:30:31']
['507', 'Washington/Wabash', '5', '20210504 16:31:35']
['512', 'Davis', '5', '20210504 16:31:30']
['513', 'South Boulevard', '5', '20210504 16:31:09']
['520', 'Wilson', '1', '20210504 16:31:38']
['522', 'Wellington', '1', '20210504 16:31:37']
['507', 'Adams/Wabash', '5', '20210504 16:32:25']
['509', 'Chicago', '5', '20210504 16:32:51']
['512', 'Davis', '5', '20210504 16:32:34']
['518', 'Main', '1', '20210504 16:32:41']
['523', 'Sedgwick', '1', '20210504 16:32:59']
['507', 'Harold Washington Library-State/Van Buren', '5', '20210504 16:33:58']
['509', 'Chicago', '5', '20210504 16:33:50']
['512', 'Davis', '5', '20210504 16:33:21']
['517', 'Diversey', '5', '20210504 16:33:50']
['518', 'Main', '1', '20210504 16:33:46']
['523', 'Sedgwick', '1', '20210504 16:33:57']
['507', 'LaSalle/Van Buren', '5', '20210504 16:34:39']
['512', 'Davis', '5', '20210504 16:33:21']
['517', 'Diversey', '5', '20210504 16:34:19']
['518', 'Dempster', '1', '20210504 16:34:10']
['507', 'LaSalle/Van Buren', '5', '20210504 16:35:01']
['509', 'Merchandise Mart', '5', '20210504 16:35:25']
['512', 'Dempster', '5', '20210504 16:35:02']
['514', 'Central', '5', '20210504 16:35:36']
['521', 'Wilson', '5', '20210504 16:35:34']
['507', 'Quincy', '5', '20210504 16:36:35']
['512', 'Dempster', '5', '20210504 16:36:31']
['517', 'Fullerton', '5', '20210504 16:36:39']
['518', 'Davis', '1', '20210504 16:36:29']
