['510', 'Davis', '5', '20210510 06:53:34']
['513', 'Main', '1', '20210510 06:52:44']
['504', 'Armitage', '1', '20210510 06:54:32']
['506', 'LaSalle/Van Buren', '5', '20210510 06:54:35']
['508', 'Sedgwick', '5', '20210510 06:54:24']
['509', 'Wilson', '5', '20210510 06:54:37']
['503', 'Foster', '1', '20210510 06:55:20']
['506', 'Quincy', '5', '20210510 06:55:34']
['510', 'Main', '5', '20210510 06:55:23']
['511', 'Central', '5', '20210510 06:55:22']
['501', 'Wilson', '1', '20210510 06:56:39']
['503', 'Noyes', '1', '20210510 06:55:46']
['504', 'Fullerton', '1', '20210510 06:56:32']
['506', 'Quincy', '5', '20210510 06:56:39']
['509', 'Sheridan', '5', '20210510 06:56:23']
['510', 'Main', '5', '20210510 06:56:26']
['511', 'Central', '5', '20210510 06:56:14']
['513', 'Davis', '1', '20210510 06:56:30']
['503', 'Central', '1', '20210510 06:57:32']
['506', 'Washington/Wells', '5', '20210510 06:57:36']
['508', 'Chicago', '5', '20210510 06:57:28']
['509', 'Sheridan', '5', '20210510 06:57:27']
['510', 'South Boulevard', '5', '20210510 06:57:21']
['504', 'Diversey', '1', '20210510 06:58:38']
['508', 'Chicago', '5', '20210510 06:58:18']
['510', 'Howard', '5', '20210510 06:57:59']
['511', 'Davis', '5', '20210510 06:58:29']
['513', 'Noyes', '1', '20210510 06:58:14']
['503', 'Linden', '1', '20210510 06:59:10']
['504', 'Diversey', '1', '20210510 06:59:29']
['508', 'Merchandise Mart', '5', '20210510 06:59:38']
['509', 'Belmont', '5', '20210510 06:59:18']
['511', 'Davis', '5', '20210510 06:59:30']
['504', 'Wellington', '1', '20210510 06:59:52']
['506', 'Merchandise Mart', '1', '20210510 07:00:37']
['508', 'Merchandise Mart', '5', '20210510 07:00:24']
['509', 'Belmont', '5', '20210510 07:00:23']
['511', 'Davis', '5', '20210510 07:00:13']
['504', 'Belmont', '1', '20210510 07:01:39']
['509', 'Wellington', '5', '20210510 07:01:39']
['511', 'Davis', '5', '20210510 07:01:29']
['506', 'Chicago', '1', '20210510 07:02:33']
['508', 'Clark/Lake', '5', '20210510 07:02:10']
['509', 'Diversey', '5', '20210510 07:02:30']
['513', 'Linden', '1', '20210510 07:01:45']
['506', 'Chicago', '1', '20210510 07:03:34']
['508', 'Clark/Lake', '5', '20210510 07:02:10']
['511', 'Main', '5', '20210510 07:03:35']
['508', 'State/Lake', '5', '20210510 07:04:08']
['509', 'Fullerton', '5', '20210510 07:04:36']
['511', 'Main', '5', '20210510 07:03:35']
['508', 'State/Lake', '5', '20210510 07:04:57']
['511', 'South Boulevard', '5', '20210510 07:05:37']
['506', 'Sedgwick', '1', '20210510 07:06:36']
['509', 'Armitage', '5', '20210510 07:06:27']
['511', 'Howard', '5', '20210510 07:06:26']
['512', 'Central', '5', '20210510 07:06:09']
['501', 'South Boulevard', '1', '20210510 07:07:14']
['508', 'Washington/Wabash', '5', '20210510 07:07:25']
['510', 'Wilson', '5', '20210510 07:07:35']
['511', 'Howard', '5', '20210510 07:07:32']
['512', 'Central', '5', '20210510 07:06:54']
['504', 'Wilson', '1', '20210510 07:08:33']
['508', 'Adams/Wabash', '5', '20210510 07:08:33']
['501', 'Main', '1', '20210510 07:09:33']
['506', 'Armitage', '1', '20210510 07:09:21']
['509', 'Sedgwick', '5', '20210510 07:09:13']
['512', 'Davis', '5', '20210510 07:09:38']
['506', 'Armitage', '1', '20210510 07:10:39']
['508', 'Harold Washington Library-State/Van Buren', '5', '20210510 07:10:39']
['510', 'Sheridan', '5', '20210510 07:10:07']
['512', 'Davis', '5', '20210510 07:10:22']
['506', 'Fullerton', '1', '20210510 07:11:36']
['508', 'LaSalle/Van Buren', '5', '20210510 07:11:15']
['512', 'Davis', '5', '20210510 07:11:00']
['508', 'Quincy', '5', '20210510 07:12:39']
['509', 'Chicago', '5', '20210510 07:12:34']
['506', 'Diversey', '1', '20210510 07:13:31']
['508', 'Quincy', '5', '20210510 07:12:54']
['509', 'Merchandise Mart', '5', '20210510 07:13:27']
['510', 'Belmont', '5', '20210510 07:13:18']
['501', 'Noyes', '1', '20210510 07:14:03']
['506', 'Diversey', '1', '20210510 07:14:26']
['508', 'Washington/Wells', '5', '20210510 07:14:27']
['509', 'Merchandise Mart', '5', '20210510 07:13:27']
['510', 'Wellington', '5', '20210510 07:14:12']
['511', 'Wilson', '5', '20210510 07:14:38']
['512', 'Main', '5', '20210510 07:13:54']
['503', 'Central', '5', '20210510 07:15:35']
['506', 'Wellington', '1', '20210510 07:15:37']
['509', 'Merchandise Mart', '5', '20210510 07:15:29']
['510', 'Diversey', '5', '20210510 07:15:29']
['511', 'Wilson', '5', '20210510 07:15:32']
['512', 'South Boulevard', '5', '20210510 07:15:16']
['503', 'Central', '5', '20210510 07:16:34']
['506', 'Belmont', '1', '20210510 07:16:23']
['510', 'Diversey', '5', '20210510 07:16:38']
['512', 'Howard', '5', '20210510 07:16:29']
['508', 'Merchandise Mart', '1', '20210510 07:17:24']
['511', 'Sheridan', '5', '20210510 07:17:35']
['512', 'Howard', '5', '20210510 07:17:37']
['501', 'Linden', '1', '20210510 07:17:44']
['511', 'Sheridan', '5', '20210510 07:17:35']
['503', 'Davis', '5', '20210510 07:19:18']
['508', 'Chicago', '1', '20210510 07:19:26']
['509', 'Clark/Lake', '5', '20210510 07:19:38']
['510', 'Armitage', '5', '20210510 07:19:28']
['503', 'Davis', '5', '20210510 07:19:53']
