['521', 'State/Lake', '5', '20210505 19:11:30']
['516', 'Main', '1', '20210505 19:12:19']
['519', 'Howard', '5', '20210505 19:12:16']
['521', 'Washington/Wabash', '5', '20210505 19:12:33']
['523', 'Davis', '1', '20210505 19:12:32']
['516', 'Dempster', '1', '20210505 19:13:37']
['517', 'Sedgwick', '1', '20210505 19:13:34']
['519', 'Howard', '5', '20210505 19:13:37']
['520', 'Central', '5', '20210505 19:13:16']
['521', 'Adams/Wabash', '5', '20210505 19:13:33']
['522', 'Linden', '1', '20210505 19:13:36']
['517', 'Sedgwick', '1', '20210505 19:14:39']
['520', 'Central', '5', '20210505 19:14:11']
['523', 'Noyes', '1', '20210505 19:14:18']
['521', 'Harold Washington Library-State/Van Buren', '5', '20210505 19:15:52']
['516', 'Noyes', '1', '20210505 19:16:34']
['518', 'Wilson', '1', '20210505 19:16:26']
['520', 'Davis', '5', '20210505 19:16:27']
['521', 'LaSalle/Van Buren', '5', '20210505 19:16:13']
['516', 'Noyes', '1', '20210505 19:16:34']
['517', 'Armitage', '1', '20210505 19:17:35']
['520', 'Davis', '5', '20210505 19:17:37']
['521', 'Quincy', '5', '20210505 19:17:38']
['516', 'Central', '1', '20210505 19:18:35']
['520', 'Davis', '5', '20210505 19:18:21']
['521', 'Washington/Wells', '5', '20210505 19:18:32']
['523', 'Linden', '1', '20210505 19:18:35']
['517', 'Fullerton', '1', '20210505 19:19:34']
['520', 'Davis', '5', '20210505 19:19:26']
['516', 'Linden', '1', '20210505 19:20:15']
['521', 'Merchandise Mart', '1', '20210505 19:20:13']
['516', 'Linden', '1', '20210505 19:21:30']
['520', 'Main', '5', '20210505 19:21:27']
['517', 'Diversey', '1', '20210505 19:22:38']
['520', 'Main', '5', '20210505 19:22:29']
['521', 'Chicago', '1', '20210505 19:22:35']
['517', 'Wellington', '1', '20210505 19:23:27']
['520', 'South Boulevard', '5', '20210505 19:23:22']
['521', 'Chicago', '1', '20210505 19:23:36']
['517', 'Wellington', '1', '20210505 19:24:18']
['520', 'Howard', '5', '20210505 19:24:04']
['517', 'Belmont', '1', '20210505 19:25:06']
['521', 'Sedgwick', '1', '20210505 19:25:31']
['522', 'Central', '5', '20210505 19:25:15']
['521', 'Sedgwick', '1', '20210505 19:26:36']
['522', 'Central', '5', '20210505 19:26:04']
['522', 'Davis', '5', '20210505 19:28:23']
['521', 'Armitage', '1', '20210505 19:29:31']
['522', 'Davis', '5', '20210505 19:29:31']
['518', 'South Boulevard', '1', '20210505 19:30:13']
['522', 'Davis', '5', '20210505 19:30:18']
['518', 'Main', '1', '20210505 19:30:47']
['521', 'Fullerton', '1', '20210505 19:31:29']
