['506', 'Clark/Lake', '5', '20210506 16:06:39']
['507', 'Sheridan', '5', '20210506 16:05:39']
['515', 'Central', '1', '20210506 16:06:32']
['517', 'Davis', '5', '20210506 16:06:40']
['518', 'Fullerton', '1', '20210506 16:06:24']
['520', 'Chicago', '1', '20210506 16:06:24']
['506', 'State/Lake', '5', '20210506 16:07:05']
['517', 'Davis', '5', '20210506 16:07:28']
['508', 'Chicago', '5', '20210506 16:08:35']
['515', 'Linden', '1', '20210506 16:08:07']
['517', 'Davis', '5', '20210506 16:08:28']
['518', 'Diversey', '1', '20210506 16:08:21']
['506', 'Washington/Wabash', '5', '20210506 16:09:35']
['507', 'Belmont', '5', '20210506 16:09:10']
['517', 'Davis', '5', '20210506 16:09:39']
['518', 'Wellington', '1', '20210506 16:09:10']
['520', 'Sedgwick', '1', '20210506 16:09:37']
['507', 'Wellington', '5', '20210506 16:10:19']
['508', 'Merchandise Mart', '5', '20210506 16:10:35']
['509', 'Wilson', '5', '20210506 16:10:37']
['518', 'Wellington', '1', '20210506 16:10:28']
['506', 'Harold Washington Library-State/Van Buren', '5', '20210506 16:11:38']
['507', 'Diversey', '5', '20210506 16:11:29']
['508', 'Merchandise Mart', '5', '20210506 16:11:22']
['517', 'Main', '5', '20210506 16:11:38']
['518', 'Belmont', '1', '20210506 16:11:35']
['521', 'Central', '5', '20210506 16:11:22']
['506', 'LaSalle/Van Buren', '5', '20210506 16:12:14']
['507', 'Diversey', '5', '20210506 16:12:39']
['509', 'Sheridan', '5', '20210506 16:12:32']
['517', 'Main', '5', '20210506 16:12:38']
['521', 'Central', '5', '20210506 16:12:11']
['506', 'Quincy', '5', '20210506 16:13:17']
['507', 'Fullerton', '5', '20210506 16:13:14']
['508', 'Clark/Lake', '5', '20210506 16:13:37']
['509', 'Sheridan', '5', '20210506 16:12:40']
['517', 'South Boulevard', '5', '20210506 16:13:31']
['520', 'Armitage', '1', '20210506 16:13:36']
['506', 'Quincy', '5', '20210506 16:14:31']
['507', 'Fullerton', '5', '20210506 16:14:35']
['508', 'State/Lake', '5', '20210506 16:14:37']
['517', 'Howard', '5', '20210506 16:14:16']
['521', 'Davis', '5', '20210506 16:14:23']
['506', 'Washington/Wells', '5', '20210506 16:15:36']
['507', 'Armitage', '5', '20210506 16:15:34']
['508', 'Washington/Wabash', '5', '20210506 16:15:39']
['517', 'Howard', '5', '20210506 16:14:16']
['520', 'Fullerton', '1', '20210506 16:15:30']
['521', 'Davis', '5', '20210506 16:15:11']
['506', 'Merchandise Mart', '1', '20210506 16:16:27']
['508', 'Adams/Wabash', '5', '20210506 16:16:33']
['509', 'Belmont', '5', '20210506 16:15:55']
['513', 'Central', '5', '20210506 16:16:27']
['521', 'Davis', '5', '20210506 16:15:49']
['509', 'Belmont', '5', '20210506 16:15:55']
['513', 'Central', '5', '20210506 16:17:11']
['520', 'Diversey', '1', '20210506 16:17:28']
['521', 'Davis', '5', '20210506 16:17:16']
['508', 'Harold Washington Library-State/Van Buren', '5', '20210506 16:18:35']
['509', 'Belmont', '5', '20210506 16:18:37']
['518', 'Wilson', '1', '20210506 16:18:25']
['506', 'Chicago', '1', '20210506 16:19:40']
['507', 'Sedgwick', '5', '20210506 16:19:39']
['508', 'LaSalle/Van Buren', '5', '20210506 16:19:10']
['509', 'Wellington', '5', '20210506 16:19:07']
['513', 'Davis', '5', '20210506 16:19:09']
['520', 'Wellington', '1', '20210506 16:19:35']
['521', 'Main', '5', '20210506 16:19:06']
['508', 'LaSalle/Van Buren', '5', '20210506 16:19:54']
['509', 'Diversey', '5', '20210506 16:20:34']
['513', 'Davis', '5', '20210506 16:20:17']
['520', 'Belmont', '1', '20210506 16:20:39']
['521', 'Main', '5', '20210506 16:20:17']
['508', 'Quincy', '5', '20210506 16:21:10']
['509', 'Diversey', '5', '20210506 16:21:38']
['513', 'Davis', '5', '20210506 16:21:07']
['521', 'South Boulevard', '5', '20210506 16:21:38']
['506', 'Sedgwick', '1', '20210506 16:22:37']
['507', 'Chicago', '5', '20210506 16:22:38']
['508', 'Washington/Wells', '5', '20210506 16:22:39']
['509', 'Fullerton', '5', '20210506 16:22:15']
['513', 'Dempster', '5', '20210506 16:22:15']
['519', 'Foster', '1', '20210506 16:22:27']
['521', 'Howard', '5', '20210506 16:21:57']
['508', 'Washington/Wells', '5', '20210506 16:23:36']
['513', 'Main', '5', '20210506 16:23:38']
['517', 'Wilson', '5', '20210506 16:23:32']
['519', 'Noyes', '1', '20210506 16:22:48']
['507', 'Merchandise Mart', '5', '20210506 16:24:38']
['509', 'Armitage', '5', '20210506 16:24:33']
['513', 'Main', '5', '20210506 16:23:38']
['507', 'Merchandise Mart', '5', '20210506 16:25:23']
['508', 'Merchandise Mart', '1', '20210506 16:25:20']
['513', 'South Boulevard', '5', '20210506 16:25:32']
['506', 'Armitage', '1', '20210506 16:26:39']
['513', 'Howard', '5', '20210506 16:26:04']
['517', 'Sheridan', '5', '20210506 16:26:04']
['518', 'South Boulevard', '1', '20210506 16:26:03']
['519', 'Linden', '1', '20210506 16:26:22']
['520', 'Wilson', '1', '20210506 16:26:39']
['507', 'Clark/Lake', '5', '20210506 16:27:38']
['508', 'Chicago', '1', '20210506 16:27:34']
