['504', 'Davis', '5', '20210430 07:37:47']
['508', 'Wilson', '1', '20210430 07:38:39']
['509', 'Diversey', '1', '20210430 07:38:16']
['511', 'Merchandise Mart', '5', '20210430 07:38:29']
['503', 'Sheridan', '5', '20210430 07:38:36']
['509', 'Wellington', '1', '20210430 07:39:25']
['510', 'Merchandise Mart', '1', '20210430 07:39:23']
['506', 'Foster', '1', '20210430 07:40:32']
['509', 'Belmont', '1', '20210430 07:40:09']
['506', 'Noyes', '1', '20210430 07:40:55']
['510', 'Chicago', '1', '20210430 07:41:30']
['511', 'State/Lake', '5', '20210430 07:41:37']
['512', 'Sedgwick', '5', '20210430 07:41:37']
['515', 'Central', '5', '20210430 07:41:16']
['503', 'Belmont', '5', '20210430 07:42:38']
['504', 'South Boulevard', '5', '20210430 07:42:09']
['513', 'Wilson', '5', '20210430 07:42:31']
['515', 'Central', '5', '20210430 07:42:04']
['503', 'Wellington', '5', '20210430 07:43:10']
['504', 'Howard', '5', '20210430 07:43:21']
['511', 'Washington/Wabash', '5', '20210430 07:43:35']
['515', 'Noyes', '5', '20210430 07:42:56']
['503', 'Diversey', '5', '20210430 07:44:35']
['504', 'Howard', '5', '20210430 07:44:31']
['510', 'Sedgwick', '1', '20210430 07:44:30']
['511', 'Adams/Wabash', '5', '20210430 07:44:17']
['512', 'Chicago', '5', '20210430 07:44:34']
['515', 'Davis', '5', '20210430 07:44:12']
['503', 'Diversey', '5', '20210430 07:45:27']
['506', 'Linden', '1', '20210430 07:45:01']
['511', 'Harold Washington Library-State/Van Buren', '5', '20210430 07:45:35']
['513', 'Sheridan', '5', '20210430 07:45:01']
['515', 'Davis', '5', '20210430 07:45:21']
['503', 'Fullerton', '5', '20210430 07:46:57']
['509', 'Wilson', '1', '20210430 07:46:41']
['511', 'LaSalle/Van Buren', '5', '20210430 07:46:59']
['512', 'Merchandise Mart', '5', '20210430 07:46:34']
['515', 'Davis', '5', '20210430 07:45:56']
['511', 'LaSalle/Van Buren', '5', '20210430 07:47:24']
['503', 'Armitage', '5', '20210430 07:48:39']
['510', 'Armitage', '1', '20210430 07:48:35']
['511', 'Quincy', '5', '20210430 07:48:35']
['515', 'Dempster', '5', '20210430 07:48:39']
['508', 'South Boulevard', '1', '20210430 07:49:35']
['511', 'Quincy', '5', '20210430 07:49:38']
['512', 'State/Lake', '5', '20210430 07:49:38']
['513', 'Wellington', '5', '20210430 07:49:19']
['506', 'Central', '5', '20210430 07:50:17']
['508', 'Main', '1', '20210430 07:50:09']
['510', 'Fullerton', '1', '20210430 07:50:30']
['511', 'Washington/Wells', '5', '20210430 07:50:39']
['513', 'Diversey', '5', '20210430 07:50:33']
['515', 'South Boulevard', '5', '20210430 07:50:09']
['504', 'Wilson', '5', '20210430 07:51:35']
['506', 'Central', '5', '20210430 07:51:05']
['512', 'Washington/Wabash', '5', '20210430 07:51:26']
['513', 'Diversey', '5', '20210430 07:51:19']
['515', 'Howard', '5', '20210430 07:51:18']
['503', 'Sedgwick', '5', '20210430 07:52:32']
['504', 'Wilson', '5', '20210430 07:52:35']
['506', 'Noyes', '5', '20210430 07:51:54']
['508', 'Dempster', '1', '20210430 07:52:33']
['510', 'Diversey', '1', '20210430 07:52:21']
['511', 'Merchandise Mart', '1', '20210430 07:52:38']
['512', 'Adams/Wabash', '5', '20210430 07:52:39']
['513', 'Fullerton', '5', '20210430 07:52:35']
['506', 'Davis', '5', '20210430 07:53:27']
['510', 'Wellington', '1', '20210430 07:53:10']
['512', 'Harold Washington Library-State/Van Buren', '5', '20210430 07:53:36']
['504', 'Sheridan', '5', '20210430 07:54:38']
['506', 'Davis', '5', '20210430 07:54:34']
['510', 'Wellington', '1', '20210430 07:54:31']
['511', 'Chicago', '1', '20210430 07:54:31']
['512', 'Harold Washington Library-State/Van Buren', '5', '20210430 07:54:35']
['513', 'Armitage', '5', '20210430 07:54:39']
['503', 'Chicago', '5', '20210430 07:55:33']
['504', 'Sheridan', '5', '20210430 07:54:38']
['506', 'Davis', '5', '20210430 07:55:22']
['508', 'Noyes', '1', '20210430 07:55:36']
['512', 'LaSalle/Van Buren', '5', '20210430 07:55:34']
