['507', 'Belmont', '5', '20210507 16:14:34']
['509', 'Sheridan', '5', '20210507 16:14:38']
['517', 'Howard', '5', '20210507 16:13:53']
['520', 'Fullerton', '1', '20210507 16:14:37']
['521', 'Davis', '5', '20210507 16:14:31']
['522', 'Washington/Wells', '5', '20210507 16:14:16']
['507', 'Wellington', '5', '20210507 16:15:02']
['509', 'Sheridan', '5', '20210507 16:14:47']
['521', 'Davis', '5', '20210507 16:15:40']
['523', 'State/Lake', '5', '20210507 16:15:38']
['507', 'Wellington', '5', '20210507 16:16:18']
['520', 'Diversey', '1', '20210507 16:16:30']
['521', 'Davis', '5', '20210507 16:16:15']
['522', 'Merchandise Mart', '1', '20210507 16:16:20']
['523', 'State/Lake', '5', '20210507 16:16:13']
['507', 'Diversey', '5', '20210507 16:17:11']
['520', 'Diversey', '1', '20210507 16:17:25']
['521', 'Dempster', '5', '20210507 16:17:37']
['507', 'Fullerton', '5', '20210507 16:18:24']
['509', 'Belmont', '5', '20210507 16:18:34']
['513', 'Central', '5', '20210507 16:18:38']
['521', 'Dempster', '5', '20210507 16:17:37']
['522', 'Chicago', '1', '20210507 16:18:16']
['523', 'Washington/Wabash', '5', '20210507 16:18:22']
['509', 'Wellington', '5', '20210507 16:19:05']
['513', 'Central', '5', '20210507 16:19:27']
['519', 'South Boulevard', '1', '20210507 16:19:34']
['520', 'Belmont', '1', '20210507 16:19:27']
['521', 'Main', '5', '20210507 16:19:04']
['523', 'Adams/Wabash', '5', '20210507 16:19:07']
['507', 'Armitage', '5', '20210507 16:20:39']
['509', 'Diversey', '5', '20210507 16:20:24']
['519', 'Main', '1', '20210507 16:19:45']
['521', 'South Boulevard', '5', '20210507 16:20:29']
['519', 'Main', '1', '20210507 16:21:16']
['521', 'Howard', '5', '20210507 16:21:38']
['522', 'Sedgwick', '1', '20210507 16:21:28']
['523', 'Harold Washington Library-State/Van Buren', '5', '20210507 16:21:30']
['509', 'Fullerton', '5', '20210507 16:22:35']
['513', 'Davis', '5', '20210507 16:22:28']
['517', 'Wilson', '5', '20210507 16:22:40']
['519', 'Dempster', '1', '20210507 16:21:42']
['521', 'Howard', '5', '20210507 16:21:38']
['522', 'Sedgwick', '1', '20210507 16:22:35']
['523', 'LaSalle/Van Buren', '5', '20210507 16:22:04']
['513', 'Davis', '5', '20210507 16:23:19']
['518', 'Main', '1', '20210507 16:23:39']
['523', 'Quincy', '5', '20210507 16:23:13']
['507', 'Sedgwick', '5', '20210507 16:24:35']
['513', 'Davis', '5', '20210507 16:24:29']
['518', 'Dempster', '1', '20210507 16:24:05']
['523', 'Washington/Wells', '5', '20210507 16:24:37']
['513', 'Dempster', '5', '20210507 16:24:50']
['517', 'Sheridan', '5', '20210507 16:24:57']
['522', 'Armitage', '1', '20210507 16:25:38']
['513', 'Main', '5', '20210507 16:26:23']
['517', 'Sheridan', '5', '20210507 16:26:22']
['519', 'Noyes', '1', '20210507 16:26:06']
['520', 'Wilson', '1', '20210507 16:26:33']
['523', 'Merchandise Mart', '1', '20210507 16:26:34']
['507', 'Chicago', '5', '20210507 16:27:32']
['509', 'Sedgwick', '5', '20210507 16:27:33']
['512', 'Central', '5', '20210507 16:27:37']
['513', 'Main', '5', '20210507 16:27:21']
['518', 'Foster', '1', '20210507 16:27:37']
['522', 'Fullerton', '1', '20210507 16:27:32']
['523', 'Merchandise Mart', '1', '20210507 16:27:09']
['512', 'Central', '5', '20210507 16:28:25']
['513', 'South Boulevard', '5', '20210507 16:28:11']
['517', 'Belmont', '5', '20210507 16:28:21']
['518', 'Noyes', '1', '20210507 16:28:04']
['507', 'Merchandise Mart', '5', '20210507 16:29:32']
['513', 'Howard', '5', '20210507 16:28:52']
['517', 'Wellington', '5', '20210507 16:29:27']
['521', 'Wilson', '5', '20210507 16:29:31']
['522', 'Diversey', '1', '20210507 16:29:27']
['523', 'Chicago', '1', '20210507 16:29:38']
['509', 'Chicago', '5', '20210507 16:30:31']
['517', 'Wellington', '5', '20210507 16:30:28']
['519', 'Linden', '1', '20210507 16:29:57']
['521', 'Wilson', '5', '20210507 16:30:31']
['512', 'Davis', '5', '20210507 16:31:37']
['517', 'Diversey', '5', '20210507 16:31:20']
['522', 'Wellington', '1', '20210507 16:31:31']
['507', 'State/Lake', '5', '20210507 16:32:34']
['509', 'Merchandise Mart', '5', '20210507 16:32:24']
['512', 'Davis', '5', '20210507 16:32:35']
['517', 'Fullerton', '5', '20210507 16:32:34']
['518', 'Linden', '1', '20210507 16:32:05']
['521', 'Sheridan', '5', '20210507 16:32:32']
['522', 'Belmont', '1', '20210507 16:32:17']
['523', 'Sedgwick', '1', '20210507 16:32:35']
['507', 'State/Lake', '5', '20210507 16:33:38']
['512', 'Davis', '5', '20210507 16:32:35']
['517', 'Fullerton', '5', '20210507 16:33:37']
['521', 'Sheridan', '5', '20210507 16:32:32']
['523', 'Sedgwick', '1', '20210507 16:33:29']
['512', 'Dempster', '5', '20210507 16:34:19']
['507', 'Adams/Wabash', '5', '20210507 16:35:29']
['509', 'State/Lake', '5', '20210507 16:35:19']
['512', 'Main', '5', '20210507 16:35:37']
['508', 'Armitage', '1', '20210507 16:36:28']
['512', 'Main', '5', '20210507 16:35:48']
['514', 'Central', '5', '20210507 16:35:53']
['521', 'Belmont', '5', '20210507 16:35:54']
['509', 'Adams/Wabash', '5', '20210507 16:37:36']
['512', 'South Boulevard', '5', '20210507 16:37:12']
['513', 'Wilson', '5', '20210507 16:37:36']
['521', 'Wellington', '5', '20210507 16:37:35']
['508', 'Fullerton', '1', '20210507 16:38:25']
['512', 'Howard', '5', '20210507 16:38:22']
['517', 'Sedgwick', '5', '20210507 16:38:05']
['520', 'South Boulevard', '1', '20210507 16:37:44']
['521', 'Wellington', '5', '20210507 16:38:19']
['509', 'Harold Washington Library-State/Van Buren', '5', '20210507 16:39:33']
['512', 'Howard', '5', '20210507 16:39:32']
['514', 'Davis', '5', '20210507 16:39:23']
['520', 'Main', '1', '20210507 16:39:07']
['521', 'Diversey', '5', '20210507 16:39:11']
['508', 'Diversey', '1', '20210507 16:40:22']
['509', 'Harold Washington Library-State/Van Buren', '5', '20210507 16:39:33']
['513', 'Sheridan', '5', '20210507 16:39:54']
['514', 'Davis', '5', '20210507 16:40:03']
['520', 'Main', '1', '20210507 16:40:15']
['521', 'Fullerton', '5', '20210507 16:40:23']
['509', 'LaSalle/Van Buren', '5', '20210507 16:41:28']
['514', 'Davis', '5', '20210507 16:41:22']
['517', 'Chicago', '5', '20210507 16:41:39']
['520', 'Dempster', '1', '20210507 16:40:40']
['508', 'Wellington', '1', '20210507 16:42:19']
['509', 'LaSalle/Van Buren', '5', '20210507 16:42:33']
