'508', 'Quincy', '5', '20210423 16:54:35'
'509', 'Merchandise Mart', '5', '20210423 16:54:27'
'515', 'Central', '1', '20210423 16:54:31'
'507', 'Sedgwick', '1', '20210423 16:55:37'
'508', 'Washington/Wells', '5', '20210423 16:55:28'
'515', 'Linden', '1', '20210423 16:54:52'
'519', 'Belmont', '5', '20210423 16:55:34'
'507', 'Sedgwick', '1', '20210423 16:56:29'
'509', 'Clark/Lake', '5', '20210423 16:56:38'
'514', 'Davis', '5', '20210423 16:56:38'
'515', 'Linden', '1', '20210423 16:56:02'
'516', 'Sedgwick', '5', '20210423 16:56:34'
'519', 'Wellington', '5', '20210423 16:56:38'
'509', 'Clark/Lake', '5', '20210423 16:56:38'
'512', 'Wilson', '5', '20210423 16:57:30'
'514', 'Davis', '5', '20210423 16:56:57'
'519', 'Diversey', '5', '20210423 16:57:31'
'508', 'Merchandise Mart', '1', '20210423 16:57:54'
'509', 'Clark/Lake', '5', '20210423 16:58:24'
'514', 'Davis', '5', '20210423 16:57:40'
'507', 'Armitage', '1', '20210423 16:59:30'
'508', 'Merchandise Mart', '1', '20210423 16:57:54'
'509', 'State/Lake', '5', '20210423 16:59:37'
'516', 'Chicago', '5', '20210423 16:59:32'
'519', 'Fullerton', '5', '20210423 16:59:39'
'508', 'Merchandise Mart', '1', '20210423 17:00:01'
'514', 'Main', '5', '20210423 17:00:36'
'519', 'Armitage', '5', '20210423 17:00:36'
'507', 'Fullerton', '1', '20210423 17:01:36'
'509', 'Adams/Wabash', '5', '20210423 17:01:39'
'514', 'Main', '5', '20210423 17:00:48'
'516', 'Merchandise Mart', '5', '20210423 17:01:33'
'508', 'Chicago', '1', '20210423 17:02:39'
'509', 'Adams/Wabash', '5', '20210423 17:02:08'
'514', 'South Boulevard', '5', '20210423 17:02:13'
'518', 'Main', '1', '20210423 17:02:27'
'507', 'Diversey', '1', '20210423 17:03:19'
'514', 'Howard', '5', '20210423 17:03:29'
'518', 'Main', '1', '20210423 17:03:34'
'509', 'Harold Washington Library-State/Van Buren', '5', '20210423 17:04:39'
'512', 'Wellington', '5', '20210423 17:04:34'
'514', 'Howard', '5', '20210423 17:03:29'
'516', 'Clark/Lake', '5', '20210423 17:04:23'
'518', 'Dempster', '1', '20210423 17:03:57'
'519', 'Sedgwick', '5', '20210423 17:04:35'
'507', 'Wellington', '1', '20210423 17:05:20'
'508', 'Sedgwick', '1', '20210423 17:05:32'
'509', 'LaSalle/Van Buren', '5', '20210423 17:05:20'
'512', 'Diversey', '5', '20210423 17:05:39'
'515', 'Central', '5', '20210423 17:05:13'
'516', 'State/Lake', '5', '20210423 17:05:37'
'507', 'Belmont', '1', '20210423 17:06:07'
'508', 'Sedgwick', '1', '20210423 17:06:25'
'509', 'Quincy', '5', '20210423 17:06:26'
'512', 'Diversey', '5', '20210423 17:06:07'
'516', 'Washington/Wabash', '5', '20210423 17:06:36'
'509', 'Quincy', '5', '20210423 17:07:32'
'512', 'Fullerton', '5', '20210423 17:07:17'
'515', 'Davis', '5', '20210423 17:07:39'
'516', 'Adams/Wabash', '5', '20210423 17:07:22'
'519', 'Chicago', '5', '20210423 17:07:28'
'509', 'Washington/Wells', '5', '20210423 17:08:06'
'515', 'Davis', '5', '20210423 17:08:22'
