['506', 'Sheridan', '1', '5', '20210514 06:27:42']
['508', 'Main', '1', '5', '20210514 06:28:27']
['510', 'Linden', '1', '1', '20210514 06:28:16']
['501', 'Quincy', '1', '5', '20210514 06:29:37']
['502', 'South Boulevard', '0', '1', '20210514 06:33:30']
['503', 'Wellington', '1', '1', '20210514 06:29:30']
['504', 'Clark/Lake', '0', '5', '20210514 06:30:11']
['506', 'Belmont', '0', '5', '20210514 06:31:29']
['508', 'Main', '1', '5', '20210514 06:29:30']
['510', 'Linden', '1', '1', '20210514 06:28:16']
['501', 'Washington/Wells', '1', '5', '20210514 06:30:38']
['502', 'Howard', '0', '1', '20210514 06:32:30']
['503', 'Belmont', '1', '1', '20210514 06:30:16']
['504', 'Clark/Lake', '0', '5', '20210514 06:30:11']
['506', 'Belmont', '0', '5', '20210514 06:31:40']
['508', 'South Boulevard', '1', '5', '20210514 06:30:17']
['510', 'Linden', '1', '1', '20210514 06:30:35']
['501', 'Merchandise Mart', '1', '1', '20210514 06:31:36']
['502', 'Howard', '0', '1', '20210514 06:31:57']
['504', 'State/Lake', '1', '5', '20210514 06:31:31']
['506', 'Belmont', '1', '5', '20210514 06:30:56']
['508', 'Howard', '1', '5', '20210514 06:31:00']
['501', 'Merchandise Mart', '1', '1', '20210514 06:31:45']
['502', 'South Boulevard', '1', '1', '20210514 06:32:35']
['504', 'Adams/Wabash', '0', '5', '20210514 06:33:33']
['506', 'Wellington', '1', '5', '20210514 06:32:38']
['508', 'Wilson', '0', '5', '20210514 06:39:38']
['501', 'Chicago', '0', '1', '20210514 06:34:30']
['502', 'South Boulevard', '1', '1', '20210514 06:32:35']
['504', 'Adams/Wabash', '1', '5', '20210514 06:33:36']
['506', 'Wellington', '1', '5', '20210514 06:33:23']
['508', 'Wilson', '0', '5', '20210514 06:39:38']
['501', 'Chicago', '0', '1', '20210514 06:34:47']
['502', 'South Boulevard', '1', '1', '20210514 06:32:35']
['504', 'Adams/Wabash', '1', '5', '20210514 06:34:40']
['506', 'Diversey', '1', '5', '20210514 06:34:19']
['508', 'Wilson', '0', '5', '20210514 06:39:38']
['509', 'Central', '1', '5', '20210514 06:33:51']
['501', 'Chicago', '1', '1', '20210514 06:35:36']
['502', 'South Boulevard', '1', '1', '20210514 06:32:35']
['504', 'Harold Washington Library-State/Van Buren', '1', '5', '20210514 06:35:39']
['506', 'Fullerton', '1', '5', '20210514 06:35:38']
['508', 'Wilson', '0', '5', '20210514 06:40:31']
['509', 'Noyes', '0', '5', '20210514 06:36:29']
['501', 'Sedgwick', '0', '1', '20210514 06:37:49']
['502', 'Main', '1', '1', '20210514 06:35:50']
['504', 'LaSalle/Van Buren', '1', '5', '20210514 06:36:31']
['506', 'Fullerton', '1', '5', '20210514 06:36:39']
['508', 'Wilson', '0', '5', '20210514 06:41:12']
['509', 'Noyes', '0', '5', '20210514 06:36:29']
['501', 'Sedgwick', '0', '1', '20210514 06:38:31']
['502', 'Dempster', '1', '1', '20210514 06:37:21']
['503', 'South Boulevard', '0', '1', '20210514 06:48:32']
['504', 'Quincy', '1', '5', '20210514 06:37:28']
['506', 'Armitage', '0', '5', '20210514 06:37:56']
['508', 'Wilson', '0', '5', '20210514 06:39:39']
['509', 'Davis', '1', '5', '20210514 06:37:39']
['501', 'Sedgwick', '1', '1', '20210514 06:38:34']
['502', 'Dempster', '1', '1', '20210514 06:38:21']
['503', 'South Boulevard', '0', '1', '20210514 06:48:32']
['504', 'Quincy', '1', '5', '20210514 06:38:36']
['506', 'Sedgwick', '0', '5', '20210514 06:40:35']
