['513', 'Armitage', '0', '1', '20210514 15:16:14']
['514', 'LaSalle/Van Buren', '0', '5', '20210514 15:15:28']
['515', 'Clark/Lake', '0', '5', '20210514 15:15:15']
['518', 'Wilson', '0', '5', '20210514 15:15:38']
['519', 'Fullerton', '1', '5', '20210514 15:14:28']
['520', 'Davis', '1', '5', '20210514 15:14:16']
['507', 'Dempster', '1', '1', '20210514 15:15:24']
['513', 'Armitage', '0', '1', '20210514 15:16:22']
['514', 'Harold Washington Library-State/Van Buren', '1', '5', '20210514 15:15:27']
['515', 'Clark/Lake', '0', '5', '20210514 15:15:15']
['518', 'Wilson', '1', '5', '20210514 15:15:34']
['519', 'Fullerton', '1', '5', '20210514 15:15:32']
['520', 'Davis', '1', '5', '20210514 15:14:16']
['507', 'Davis', '0', '1', '20210514 15:16:44']
['513', 'Armitage', '0', '1', '20210514 15:17:24']
['514', 'LaSalle/Van Buren', '1', '5', '20210514 15:16:10']
['515', 'State/Lake', '1', '5', '20210514 15:16:28']
['518', 'Wilson', '1', '5', '20210514 15:16:35']
['519', 'Armitage', '1', '5', '20210514 15:16:27']
['520', 'Dempster', '0', '5', '20210514 15:16:57']
['507', 'Foster', '0', '1', '20210514 15:18:02']
['513', 'Armitage', '1', '1', '20210514 15:17:31']
['514', 'Quincy', '1', '5', '20210514 15:17:35']
['515', 'Adams/Wabash', '0', '5', '20210514 15:18:33']
['518', 'Sheridan', '0', '5', '20210514 15:18:49']
['519', 'Sedgwick', '0', '5', '20210514 15:20:18']
['520', 'Main', '1', '5', '20210514 15:17:33']
['507', 'Noyes', '1', '1', '20210514 15:18:39']
['513', 'Fullerton', '0', '1', '20210514 15:18:56']
['514', 'Washington/Wells', '1', '5', '20210514 15:18:23']
['515', 'Washington/Wabash', '1', '5', '20210514 15:18:26']
['518', 'Sheridan', '1', '5', '20210514 15:18:30']
['519', 'Sedgwick', '0', '5', '20210514 15:20:31']
['520', 'Main', '1', '5', '20210514 15:18:34']
['507', 'Noyes', '1', '1', '20210514 15:18:39']
['513', 'Fullerton', '1', '1', '20210514 15:19:31']
['514', 'Merchandise Mart', '0', '1', '20210514 15:21:36']
['515', 'Adams/Wabash', '1', '5', '20210514 15:19:33']
['518', 'Sheridan', '1', '5', '20210514 15:19:32']
['519', 'Sedgwick', '0', '5', '20210514 15:19:58']
['520', 'South Boulevard', '1', '5', '20210514 15:19:25']
['522', 'Central', '1', '5', '20210514 15:19:19']
['507', 'Central', '1', '1', '20210514 15:20:34']
['513', 'Diversey', '0', '1', '20210514 15:20:57']
['514', 'Merchandise Mart', '1', '1', '20210514 15:20:27']
['515', 'LaSalle/Van Buren', '0', '5', '20210514 15:21:05']
['518', 'Belmont', '0', '5', '20210514 15:22:14']
['519', 'Sedgwick', '1', '5', '20210514 15:20:39']
['520', 'Howard', '1', '5', '20210514 15:20:09']
['522', 'Central', '1', '5', '20210514 15:20:07']
['507', 'Linden', '0', '1', '20210514 15:22:02']
['513', 'Diversey', '1', '1', '20210514 15:21:34']
['514', 'Chicago', '0', '1', '20210514 15:22:16']
['515', 'Harold Washington Library-State/Van Buren', '1', '5', '20210514 15:20:58']
['518', 'Belmont', '1', '5', '20210514 15:21:31']
['519', 'Chicago', '0', '5', '20210514 15:23:24']
['520', 'Wilson', '0', '5', '20210514 15:30:25']
['522', 'Davis', '0', '5', '20210514 15:22:02']
['507', 'Linden', '1', '1', '20210514 15:22:10']
['513', 'Wellington', '0', '1', '20210514 15:23:18']
['514', 'Chicago', '1', '1', '20210514 15:22:30']
['515', 'LaSalle/Van Buren', '1', '5', '20210514 15:22:19']
['518', 'Wellington', '1', '5', '20210514 15:22:34']
['519', 'Chicago', '0', '5', '20210514 15:23:33']
['520', 'Wilson', '0', '5', '20210514 15:30:02']
['522', 'Davis', '1', '5', '20210514 15:22:30']
['509', 'Main', '0', '1', '20210514 15:24:25']
['513', 'Wellington', '1', '1', '20210514 15:23:35']
['514', 'Sedgwick', '0', '1', '20210514 15:25:13']
['515', 'LaSalle/Van Buren', '1', '5', '20210514 15:23:38']
['518', 'Wellington', '1', '5', '20210514 15:23:17']
['519', 'Chicago', '1', '5', '20210514 15:23:40']
['520', 'Wilson', '0', '5', '20210514 15:30:02']
['522', 'Davis', '1', '5', '20210514 15:23:38']
['509', 'Main', '1', '1', '20210514 15:24:20']
['513', 'Belmont', '1', '1', '20210514 15:24:33']
['514', 'Sedgwick', '0', '1', '20210514 15:25:36']
['515', 'Quincy', '1', '5', '20210514 15:24:30']
['518', 'Diversey', '1', '5', '20210514 15:24:39']
['519', 'Merchandise Mart', '0', '5', '20210514 15:25:34']
['520', 'Wilson', '0', '5', '20210514 15:30:02']
['522', 'Davis', '1', '5', '20210514 15:24:16']
['509', 'Dempster', '1', '1', '20210514 15:25:39']
['514', 'Sedgwick', '1', '1', '20210514 15:25:28']
['515', 'Washington/Wells', '1', '5', '20210514 15:25:39']
['518', 'Fullerton', '1', '5', '20210514 15:25:22']
['519', 'Merchandise Mart', '1', '5', '20210514 15:25:34']
['520', 'Wilson', '0', '5', '20210514 15:30:02']
['522', 'Davis', '1', '5', '20210514 15:25:32']
['509', 'Foster', '0', '1', '20210514 15:28:14']
['514', 'Armitage', '0', '1', '20210514 15:28:30']
['515', 'Merchandise Mart', '0', '1', '20210514 15:28:21']
['518', 'Armitage', '1', '5', '20210514 15:27:28']
['519', 'Clark/Lake', '0', '5', '20210514 15:27:45']
['520', 'Wilson', '0', '5', '20210514 15:31:33']
['522', 'Main', '1', '5', '20210514 15:27:23']
['509', 'Noyes', '1', '1', '20210514 15:28:43']
['514', 'Armitage', '0', '1', '20210514 15:29:40']
['515', 'Chicago', '0', '1', '20210514 15:29:58']
['518', 'Sedgwick', '0', '5', '20210514 15:30:55']
['519', 'Clark/Lake', '1', '5', '20210514 15:28:52']
['520', 'Wilson', '0', '5', '20210514 15:29:53']
['522', 'South Boulevard', '1', '5', '20210514 15:28:50']
['509', 'Central', '0', '1', '20210514 15:30:38']
['514', 'Armitage', '1', '1', '20210514 15:29:31']
['515', 'Chicago', '0', '1', '20210514 15:29:58']
['518', 'Sedgwick', '0', '5', '20210514 15:30:36']
['519', 'State/Lake', '1', '5', '20210514 15:29:12']
['520', 'Wilson', '1', '5', '20210514 15:29:39']
['522', 'South Boulevard', '1', '5', '20210514 15:29:21']
['509', 'Central', '1', '1', '20210514 15:30:40']
['513', 'Sheridan', '0', '5', '20210514 15:33:26']
['514', 'Fullerton', '0', '1', '20210514 15:31:11']
['515', 'Chicago', '1', '1', '20210514 15:30:11']
['518', 'Sedgwick', '0', '5', '20210514 15:31:04']
['519', 'Adams/Wabash', '0', '5', '20210514 15:31:29']
['520', 'Wilson', '1', '5', '20210514 15:30:39']
['522', 'Howard', '1', '5', '20210514 15:30:08']
['509', 'Linden', '0', '1', '20210514 15:31:47']
['513', 'South Boulevard', '0', '1', '20210514 15:44:16']
['514', 'Fullerton', '1', '1', '20210514 15:31:26']
['515', 'Sedgwick', '0', '1', '20210514 15:32:38']
['518', 'Sedgwick', '0', '5', '20210514 15:31:44']
['519', 'Adams/Wabash', '1', '5', '20210514 15:31:38']
['520', 'Sheridan', '0', '5', '20210514 15:32:55']
['522', 'Wilson', '0', '5', '20210514 15:40:28']
['509', 'Linden', '1', '1', '20210514 15:32:45']
['513', 'South Boulevard', '0', '1', '20210514 15:44:16']
['514', 'Diversey', '1', '1', '20210514 15:32:56']
['515', 'Sedgwick', '1', '1', '20210514 15:32:49']
['518', 'Chicago', '0', '5', '20210514 15:34:37']
['519', 'Harold Washington Library-State/Van Buren', '0', '5', '20210514 15:33:51']
['520', 'Sheridan', '1', '5', '20210514 15:32:52']
['522', 'Wilson', '0', '5', '20210514 15:39:56']
['523', 'Central', '1', '5', '20210514 15:32:39']
['513', 'South Boulevard', '0', '1', '20210514 15:44:34']
['514', 'Diversey', '1', '1', '20210514 15:33:21']
['515', 'Sedgwick', '1', '1', '20210514 15:33:38']
['518', 'Chicago', '0', '5', '20210514 15:34:31']
['519', 'Harold Washington Library-State/Van Buren', '1', '5', '20210514 15:33:36']
['520', 'Sheridan', '1', '5', '20210514 15:32:52']
['522', 'Wilson', '0', '5', '20210514 15:39:56']
['523', 'Davis', '0', '5', '20210514 15:34:27']
['513', 'South Boulevard', '0', '1', '20210514 15:44:38']
['514', 'Wellington', '0', '1', '20210514 15:35:07']
['515', 'Armitage', '0', '1', '20210514 15:36:19']
['518', 'Chicago', '1', '5', '20210514 15:34:26']
['519', 'LaSalle/Van Buren', '1', '5', '20210514 15:34:29']
['520', 'Belmont', '0', '5', '20210514 15:36:34']
['522', 'Wilson', '0', '5', '20210514 15:39:56']
['523', 'Davis', '0', '5', '20210514 15:34:27']
['513', 'Howard', '0', '1', '20210514 15:42:46']
['514', 'Belmont', '1', '1', '20210514 15:35:35']
['515', 'Armitage', '0', '1', '20210514 15:36:36']
['518', 'Chicago', '1', '5', '20210514 15:35:20']
['519', 'Quincy', '1', '5', '20210514 15:35:32']
['520', 'Belmont', '0', '5', '20210514 15:36:35']
['522', 'Wilson', '0', '5', '20210514 15:39:56']
['523', 'Davis', '1', '5', '20210514 15:35:24']
['513', 'South Boulevard', '0', '1', '20210514 15:42:19']
['515', 'Armitage', '0', '1', '20210514 15:37:37']
['518', 'Merchandise Mart', '1', '5', '20210514 15:36:38']
['519', 'Quincy', '1', '5', '20210514 15:36:35']
['520', 'Belmont', '1', '5', '20210514 15:36:35']
['522', 'Wilson', '0', '5', '20210514 15:39:56']
['523', 'Davis', '1', '5', '20210514 15:35:59']
['513', 'Howard', '0', '1', '20210514 15:40:38']
['515', 'Armitage', '1', '1', '20210514 15:37:34']
['518', 'Merchandise Mart', '1', '5', '20210514 15:37:25']
['519', 'Washington/Wells', '1', '5', '20210514 15:37:37']
['520', 'Wellington', '1', '5', '20210514 15:36:58']
['522', 'Wilson', '0', '5', '20210514 15:42:27']
['523', 'Davis', '1', '5', '20210514 15:36:47']
