'508', 'Clark/Lake', '5', '20210423 07:31:18'
'509', 'Belmont', '5', '20210423 07:30:43'
'512', 'Central', '5', '20210423 07:31:02'
'504', 'Wellington', '1', '20210423 07:32:37'
'508', 'Clark/Lake', '5', '20210423 07:31:18'
'509', 'Belmont', '5', '20210423 07:32:32'
'503', 'Wilson', '5', '20210423 07:33:28'
'504', 'Belmont', '1', '20210423 07:33:39'
'506', 'South Boulevard', '1', '20210423 07:33:13'
'507', 'Sedgwick', '1', '20210423 07:33:32'
'508', 'Clark/Lake', '5', '20210423 07:33:16'
'509', 'Wellington', '5', '20210423 07:33:01'
'512', 'Davis', '5', '20210423 07:33:20'
'506', 'Main', '1', '20210423 07:33:46'
'508', 'Clark/Lake', '5', '20210423 07:33:16'
'509', 'Diversey', '5', '20210423 07:34:27'
'512', 'Davis', '5', '20210423 07:34:21'
'508', 'Clark/Lake', '5', '20210423 07:33:16'
'509', 'Diversey', '5', '20210423 07:35:20'
'512', 'Davis', '5', '20210423 07:35:07'
'508', 'Clark/Lake', '5', '20210423 07:33:16'
'509', 'Fullerton', '5', '20210423 07:36:06'
'512', 'Dempster', '5', '20210423 07:36:34'
'506', 'Davis', '1', '20210423 07:37:32'
'507', 'Armitage', '1', '20210423 07:37:37'
'508', 'Clark/Lake', '5', '20210423 07:33:16'
'509', 'Fullerton', '5', '20210423 07:37:16'
'512', 'Dempster', '5', '20210423 07:36:34'
'507', 'Fullerton', '1', '20210423 07:38:31'
'508', 'Clark/Lake', '5', '20210423 07:33:16'
'512', 'Main', '5', '20210423 07:38:04'
'503', 'Belmont', '5', '20210423 07:39:34'
'504', 'Wilson', '1', '20210423 07:39:39'
'506', 'Noyes', '1', '20210423 07:39:21'
'508', 'Clark/Lake', '5', '20210423 07:33:16'
'509', 'Armitage', '5', '20210423 07:39:38'
'512', 'South Boulevard', '5', '20210423 07:39:26'
'503', 'Wellington', '5', '20210423 07:40:25'
'507', 'Diversey', '1', '20210423 07:40:39'
'508', 'Clark/Lake', '5', '20210423 07:33:16'
'512', 'Howard', '5', '20210423 07:40:36'
'503', 'Wellington', '5', '20210423 07:41:17'
'506', 'Central', '1', '20210423 07:41:20'
'507', 'Diversey', '1', '20210423 07:41:34'
'508', 'State/Lake', '5', '20210423 07:41:02'
'512', 'Howard', '5', '20210423 07:40:36'
'503', 'Diversey', '5', '20210423 07:42:12'
'506', 'Linden', '1', '20210423 07:41:48'
'503', 'Fullerton', '5', '20210423 07:43:20'
'506', 'Linden', '1', '20210423 07:42:55'
'507', 'Belmont', '1', '20210423 07:43:29'
'508', 'Adams/Wabash', '5', '20210423 07:43:36'
'509', 'Sedgwick', '5', '20210423 07:43:26'
'508', 'Adams/Wabash', '5', '20210423 07:44:33'
'503', 'Armitage', '5', '20210423 07:45:36'
'508', 'Harold Washington Library-State/Van Buren', '5', '20210423 07:45:36'
'509', 'Chicago', '5', '20210423 07:45:31'
'514', 'Davis', '5', '20210423 07:45:37'
'508', 'LaSalle/Van Buren', '5', '20210423 07:46:25'
'509', 'Chicago', '5', '20210423 07:46:22'
'514', 'Davis', '5', '20210423 07:45:57'
'508', 'Quincy', '5', '20210423 07:47:18'
'514', 'Davis', '5', '20210423 07:46:49'
'503', 'Sedgwick', '5', '20210423 07:48:27'
'508', 'Washington/Wells', '5', '20210423 07:48:33'
'509', 'Merchandise Mart', '5', '20210423 07:48:26'
'514', 'Dempster', '5', '20210423 07:48:18'
'502', 'Dempster', '5', '20210423 07:49:35'
'502', 'Main', '5', '20210423 07:49:51'
'504', 'South Boulevard', '1', '20210423 07:49:49'
'508', 'Merchandise Mart', '1', '20210423 07:50:10'
'502', 'Main', '5', '20210423 07:49:51'
'503', 'Chicago', '5', '20210423 07:51:31'
'504', 'Main', '1', '20210423 07:51:32'
'508', 'Merchandise Mart', '1', '20210423 07:50:10'
'509', 'Clark/Lake', '5', '20210423 07:50:51'
'512', 'Wilson', '5', '20210423 07:51:38'
'514', 'South Boulevard', '1', '20210423 07:51:00'
'502', 'South Boulevard', '5', '20210423 07:52:32'
'503', 'Chicago', '5', '20210423 07:52:22'
'504', 'Main', '1', '20210423 07:51:32'
'508', 'Merchandise Mart', '1', '20210423 07:52:28'
'509', 'Clark/Lake', '5', '20210423 07:50:51'
'512', 'Wilson', '5', '20210423 07:52:37'
'514', 'South Boulevard', '1', '20210423 07:51:00'
'502', 'Howard', '5', '20210423 07:53:12'
